partnerCode,year,ctry_total_value,ctry_hs_diversity,ctry_max_hs_share,ctry_hhi,ctry_entropy,ctry_log_total_value,ctry_pc1,ctry_pc2,ctry_pca_var1,ctry_pca_var2,prev_year,prev_pc1,prev_pc2,ctry_dx,ctry_dy,ctry_drift,year_pair,ctry_hs_js_similarity,ctry_hs_js_distance,ctry_common_hs_count,ctry_new_hs_count,ctry_lost_hs_count,ctry_filtered_hs_count,ctry_trajectory_cluster,ctry_quadrant_type
0,2019,2026874783.134,63,0.14608519495968517,0.08380767914962864,2.8356901079430115,21.42976092852397,3.7586948532439717,0.9199751408184718,0.8257894310170636,0.1389884275239703,2018,3.75544939387072,0.9442384902745855,0.0032454593732516024,-0.024263349456113747,0.024479443077262235,2018-2019,0.8160095255165897,0.18399047448341033,50,2,3,55,1,C_low_drift_high_JS
0,2020,1997990346.9980001,63,0.15587113711231143,0.08828494116807978,2.82670802974861,21.415407686329274,3.7228417435945365,0.8252283846720212,0.829907087217483,0.135658343738884,2019,3.7586948532439717,0.9199751408184718,-0.03585310964943522,-0.09474675614645056,0.10130347117354564,2019-2020,0.7371484909054833,0.2628515090945167,49,4,3,56,1,C_low_drift_high_JS
0,2021,2314508249.803,64,0.134852668598423,0.0818717944261651,2.8624059434478912,21.56246308326096,3.7142416254387807,0.7547208556797824,0.8221884761128052,0.14222676506674978,2020,3.7228417435945365,0.8252283846720212,-0.008600118155755787,-0.07050752899223878,0.07103008993999903,2020-2021,0.7629112913137568,0.2370887086862432,50,3,2,55,1,C_low_drift_high_JS
0,2022,2272327257.098,63,0.14790973323940762,0.0842789833189107,2.84177146842603,21.54407036708841,3.748222938241119,0.7627523577164478,0.8376904997283527,0.12527962862764733,2021,3.7142416254387807,0.7547208556797824,0.033981312802338515,0.008031502036665361,0.03491754064557433,2021-2022,0.9400696002753348,0.059930399724665184,52,1,3,56,1,C_low_drift_high_JS
0,2023,2315217745.554,65,0.14633997439317642,0.08616887633821918,2.819843220585578,21.56276957904795,3.7657402464614065,0.7838657942869973,0.8236356131357486,0.139597998005302,2022,3.748222938241119,0.7627523577164478,0.017517308220287298,0.021113436570549537,0.02743416284677124,2022-2023,0.9048508970240019,0.0951491029759981,55,3,0,58,1,C_low_drift_high_JS
0,2024,2492032486.066,64,0.1595878243199865,0.09237498340576562,2.729778203379291,21.63636447432998,3.5779040790885284,0.832194302285385,0.8109872782354558,0.15098935707232974,2023,3.7657402464614065,0.7838657942869973,-0.18783616737287812,0.048328507998387726,0.1939537843370995,2023-2024,0.9103466963593593,0.08965330364064072,51,1,3,55,1,C_low_drift_high_JS
4,2019,647614.33,15,0.5644753104830155,0.409727961827392,1.0857584362450532,13.381052172525205,-0.4199271255985362,-0.044872496718931267,0.8257894310170636,0.1389884275239703,2018,-2.0172689100982426,0.868789937413679,1.5973417844997064,-0.9136624341326103,1.8401847244376943,2018-2019,0.4924279011775654,0.5075720988224346,9,2,2,13,2,B_high_drift_low_JS
4,2020,648386.058,20,0.4739398637717161,0.42243131622480895,1.0102314910251686,13.382243108743161,-0.10389727570340955,-0.06260590032963602,0.829907087217483,0.135658343738884,2019,-0.4199271255985362,-0.044872496718931267,0.3160298498951266,-0.017733403610704752,0.3165269966817308,2019-2020,0.8018173784369023,0.19818262156309774,10,1,0,11,2,C_low_drift_high_JS
4,2021,726607.0,11,0.5082527418535742,0.4809868075949945,0.7967205455023894,13.496142408893048,-0.5874999263878183,-0.06645239550045909,0.8221884761128052,0.14222676506674978,2020,-0.10389727570340955,-0.06260590032963602,-0.4836026506844088,-0.0038464951708230694,0.4836179476343754,2020-2021,0.7930192679918299,0.20698073200817013,8,1,4,13,2,C_low_drift_high_JS
4,2022,1043432.26,9,0.7412784994782508,0.5765691383497537,0.8497744678515396,13.85802704561979,-1.1263908074792333,0.46101389043662333,0.8376904997283527,0.12527962862764733,2021,-0.5874999263878183,-0.06645239550045909,-0.5388908810914149,0.5274662859370824,0.7540716574197319,2021-2022,0.577870738773546,0.422129261226454,6,2,2,10,2,B_high_drift_low_JS
4,2023,1069710.18,14,0.9241545219285471,0.8559466230484524,0.3757152577012963,13.88289924476807,-2.1273176179682918,1.3197460061572979,0.8236356131357486,0.139597998005302,2022,-1.1263908074792333,0.46101389043662333,-1.0009268104890585,0.8587321157206745,1.3188158804495438,2022-2023,0.7476166988838295,0.25238330111617047,6,4,1,11,2,A_high_drift_high_JS
4,2024,1244231.4600000002,7,0.9522159164822916,0.9081197615730533,0.2261481612292739,14.03402939977595,-2.577639276381911,1.3518957286590574,0.8109872782354558,0.15098935707232974,2023,-2.1273176179682918,1.3197460061572979,-0.4503216584136194,0.032149722501759515,0.45146782907903044,2023-2024,0.837517208747065,0.16248279125293497,5,1,5,11,2,C_low_drift_high_JS
8,2019,78156.86,22,0.43954311879980845,0.26117143318118796,1.7125772951128215,11.266485906607953,0.3347892367092806,-0.799022214650196,0.8257894310170636,0.1389884275239703,2018,0.2902412110648613,-0.9820991777903053,0.04454802564441934,0.18307696314010935,0.18841895080225024,2018-2019,0.5926302369681533,0.4073697630318467,16,3,4,23,1,D_low_drift_low_JS
8,2020,135547.231,23,0.34852700163236827,0.24168840847740644,1.6312078684781128,11.817082804306795,0.6697349282580454,-0.8405482256662203,0.829907087217483,0.135658343738884,2019,0.3347892367092806,-0.799022214650196,0.33494569154876475,-0.04152601101602438,0.33751003818847114,2019-2020,0.43933925089828707,0.5606607491017129,15,2,4,21,1,D_low_drift_low_JS
8,2021,280817.65,27,0.35868710531549564,0.27644520018440644,1.4749675107056541,12.545464366307174,0.6175873912145675,-0.5420601087334296,0.8221884761128052,0.14222676506674978,2020,0.6697349282580454,-0.8405482256662203,-0.052147537043477854,0.29848811693279076,0.3030091113643025,2020-2021,0.7306616917498737,0.2693383082501263,18,1,1,20,1,C_low_drift_high_JS
8,2022,345538.939,30,0.37156843559098846,0.2806991850493202,1.4626118749484174,12.75286351319348,0.679933016350055,-0.45059236761321775,0.8376904997283527,0.12527962862764733,2021,0.6175873912145675,-0.5420601087334296,0.06234562513548747,0.09146774112021183,0.11069473627579958,2021-2022,0.8931686114040636,0.10683138859593644,19,1,1,21,1,C_low_drift_high_JS
8,2023,471934.962,38,0.29118312493237153,0.23006222949617477,1.6313795945869258,13.064598581634366,1.1755322227729967,-0.49013127923665906,0.8236356131357486,0.139597998005302,2022,0.679933016350055,-0.45059236761321775,0.49559920642294175,-0.03953891162344131,0.49717391216697593,2022-2023,0.8495053413907537,0.15049465860924627,20,2,1,23,1,A_high_drift_high_JS
8,2024,628332.221,36,0.33274584210762603,0.24263641730100458,1.5540225175194555,13.350825911416281,0.9502770466198589,-0.33831573553184924,0.8109872782354558,0.15098935707232974,2023,1.1755322227729967,-0.49013127923665906,-0.22525517615313784,0.15181554370480982,0.27163919763938377,2023-2024,0.8848538750202845,0.11514612497971555,21,0,1,22,1,C_low_drift_high_JS
10,2022,5894.71,11,0.7244817811223961,0.5456382839950369,0.9907532378844697,8.681980246770769,-1.4394452876073172,-0.49790208311806794,0.8376904997283527,0.12527962862764733,2020,-1.1925665332485293,-2.0347358380073635,-0.2468787543587878,1.5368337548892956,1.5565368962928179,2020-2022,0.01121668216913041,0.9887833178308696,2,9,5,16,0,B_high_drift_low_JS
10,2023,71064.05,19,0.8616452341233014,0.7495105962762079,0.5698499206301691,11.171350933754093,-1.8930153744913902,0.6784214039072328,0.8236356131357486,0.139597998005302,2022,-1.4394452876073172,-0.49790208311806794,-0.4535700868840731,1.1763234870253008,1.2607389776807048,2022-2023,0.2339717160813929,0.7660282839186071,8,8,3,19,0,B_high_drift_low_JS
10,2024,69892.8,22,0.8883819220291647,0.7919481032123922,0.5529258369668053,11.15473222614779,-2.0497600803098526,0.8638997451771515,0.8109872782354558,0.15098935707232974,2023,-1.8930153744913902,0.6784214039072328,-0.15674470581846234,0.1854783412699187,0.24283969585378073,2023-2024,0.8447383539432622,0.15526164605673776,15,3,1,19,0,C_low_drift_high_JS
12,2019,2681318.9,35,0.7765168514644044,0.6150147779750398,0.9269063565425515,14.801819731248719,-0.6498757456261114,1.3232959814868457,0.8257894310170636,0.1389884275239703,2018,-0.9651238232488231,1.6735101069709175,0.3152480776227117,-0.3502141254840718,0.47120195684375976,2018-2019,0.8579617822649697,0.14203821773503034,24,2,2,28,3,C_low_drift_high_JS
12,2020,817016.199,38,0.5818364844930082,0.3819235480322062,1.460401759910441,13.613415425028151,0.4276639647509087,0.37218911765698254,0.829907087217483,0.135658343738884,2019,-0.6498757456261114,1.3232959814868457,1.0775397103770201,-0.9511068638298632,1.4372529679439423,2019-2020,0.7697960445394525,0.2302039554605475,26,3,0,29,3,A_high_drift_high_JS
12,2021,588696.059,38,0.3668523896131603,0.2195942078838775,1.8660943141736084,13.28566699925052,1.2097431067641522,-0.3480862142847303,0.8221884761128052,0.14222676506674978,2020,0.4276639647509087,0.37218911765698254,0.7820791420132436,-0.7202753319417128,1.0632235598292186,2020-2021,0.6867142778377888,0.3132857221622112,26,0,3,29,3,B_high_drift_low_JS
12,2022,752975.871,38,0.5817774365308978,0.3867676673260015,1.390668557242565,13.531789790506839,0.3351206517156281,0.3333892269056802,0.8376904997283527,0.12527962862764733,2021,1.2097431067641522,-0.3480862142847303,-0.8746224550485241,0.6814754411904105,1.1087710385019858,2021-2022,0.6795041385209412,0.32049586147905884,25,3,1,29,3,B_high_drift_low_JS
12,2023,429883.369,38,0.4605176270496754,0.3083324326804231,1.574817088229532,12.97127154220483,0.7050413715160445,-0.10856028224113805,0.8236356131357486,0.139597998005302,2022,0.3351206517156281,0.3333892269056802,0.3699207198004164,-0.44194950914681824,0.5763338507955018,2022-2023,0.7774057951259098,0.2225942048740902,27,1,2,30,3,A_high_drift_high_JS
12,2024,366322.526,37,0.4021920289990575,0.29256370969307127,1.5168949222084789,12.811272172748728,0.6894986650907133,-0.22003975979325238,0.8109872782354558,0.15098935707232974,2023,0.7050413715160445,-0.10856028224113805,-0.015542706425331176,-0.11147947755211433,0.1125577613419723,2023-2024,0.7052282166850601,0.2947717833149399,23,3,5,31,3,D_low_drift_low_JS
16,2019,312757.18,9,0.6881421555214176,0.5422294290331544,0.798001759142597,12.653185583063058,-1.2287194082474115,0.13853630477943837,0.8257894310170636,0.1389884275239703,2018,-1.6511031605233304,0.517838447850691,0.42238375227591884,-0.37930214307125265,0.5676954728770786,2018-2019,0.8274834543455314,0.1725165456544686,5,1,2,8,1,A_high_drift_high_JS
16,2020,349411.44,12,0.6506713117349564,0.4857481108956479,1.0020099735345132,12.764008279940677,-0.7412025044533307,0.024444506727549175,0.829907087217483,0.135658343738884,2019,-1.2287194082474115,0.13853630477943837,0.48751690379408086,-0.1140917980518892,0.5006891948781002,2019-2020,0.8064703303945087,0.19352966960549134,6,2,0,8,1,A_high_drift_high_JS
16,2021,351173.026,14,0.6660705198923792,0.4983873797963655,1.0130399436795055,12.769037180149311,-0.7733849155200626,0.09032914271784372,0.8221884761128052,0.14222676506674978,2020,-0.7412025044533307,0.024444506727549175,-0.03218241106673192,0.06588463599029454,0.07332457188174864,2020-2021,0.8888721032292843,0.11112789677071566,8,2,0,10,1,C_low_drift_high_JS
