partnerCode,ctry_trajectory_cluster,ctry_avg_drift,ctry_max_drift,ctry_avg_js_similarity,ctry_min_js_similarity,ctry_avg_new_hs,ctry_avg_lost_hs,ctry_main_quadrant_type
336,4,2.5719527886896754,2.5719527886896754,1.1102230246251565e-16,1.1102230246251565e-16,4.0,1.0,B_high_drift_low_JS
72,2,2.4569760767594286,3.2490629632177104,0.12295340053899544,0.009655123386320463,3.6666666666666665,3.5,B_high_drift_low_JS
292,3,1.9635658577399997,3.4495104252731226,0.2701537422939903,0.03835522105672817,4.0,2.0,B_high_drift_low_JS
174,0,1.9482893308520242,2.1891959819397124,0.476637953632889,0.277258041950864,0.3333333333333333,0.6666666666666666,B_high_drift_low_JS
508,3,1.9275495831069005,3.8553955366516863,0.6169156009062994,0.4025323685297807,2.3333333333333335,1.6666666666666667,B_high_drift_low_JS
84,2,1.9179522676755976,4.1786129679544395,0.3614468365390578,0.00013784413036266319,3.6666666666666665,4.333333333333333,B_high_drift_low_JS
694,2,1.8367414585335011,2.670810709775572,0.3030958696330614,0.07732337747631524,4.833333333333333,4.166666666666667,B_high_drift_low_JS
132,2,1.7581647400898854,2.591606545386576,0.21124025557440995,0.0006779502636922174,2.8333333333333335,2.6666666666666665,B_high_drift_low_JS
226,3,1.7481113345321455,2.498148484593699,0.08632669470129484,0.00019527832775900755,2.6666666666666665,2.8333333333333335,B_high_drift_low_JS
136,2,1.7154763563251534,3.347606907008684,0.5019181718152347,0.03840790866943822,2.1666666666666665,2.0,B_high_drift_low_JS
534,0,1.6619195417104795,2.4909750661635344,0.4601705619457457,1.1102230246251565e-16,0.6666666666666666,0.6666666666666666,B_high_drift_low_JS
270,2,1.6522718690544433,2.900450253699542,0.3178623245853149,0.03175121533626157,2.8333333333333335,3.5,B_high_drift_low_JS
533,2,1.641116973158077,3.572099627547843,0.18428368863486858,0.009518630273353201,3.1666666666666665,2.6666666666666665,B_high_drift_low_JS
562,3,1.6369355922490314,2.2696392620777646,0.31843655789453174,0.012539304086901293,4.166666666666667,2.0,B_high_drift_low_JS
894,3,1.6309896387607286,2.365567203284396,0.4547060369176368,0.17590599622946834,4.333333333333333,4.333333333333333,B_high_drift_low_JS
660,2,1.6283610534597406,3.0437895241408444,0.1674331701811588,0.0,2.3333333333333335,2.6666666666666665,B_high_drift_low_JS
234,3,1.5623789760024902,2.9205256367167935,0.19596068133983754,1.1102230246251565e-16,2.1666666666666665,1.1666666666666667,B_high_drift_low_JS
531,3,1.5488611147202453,3.017458750476139,0.033254485189381566,0.0,3.3333333333333335,2.6666666666666665,B_high_drift_low_JS
262,2,1.5313670975532772,3.4642286266778983,0.196365429208624,0.0041642606512897196,5.0,6.0,B_high_drift_low_JS
92,3,1.5253431811923477,2.6284302188412667,0.11565919134326677,1.1102230246251565e-16,2.2,1.0,B_high_drift_low_JS
442,2,1.523685270633541,2.151906467656125,0.48677585453426137,0.18411881514199524,1.8333333333333333,1.6666666666666667,B_high_drift_low_JS
204,2,1.514743607056129,3.0724443878836007,0.581615678735939,0.40500013543845104,4.333333333333333,5.0,B_high_drift_low_JS
454,2,1.4964542289078666,3.732333305902791,0.5707028454370054,0.3908667569199875,3.3333333333333335,3.1666666666666665,B_high_drift_low_JS
208,2,1.4944975301238206,2.9686690169279992,0.6173174607509035,0.2583650412536429,1.0,0.16666666666666666,B_high_drift_low_JS
352,2,1.4802836649966242,3.4652119627158973,0.45107523405975974,0.022594797823509594,3.8333333333333335,3.6666666666666665,B_high_drift_low_JS
748,2,1.4767753249208437,2.659376630074422,0.3018600035488785,0.04384371414360089,6.166666666666667,4.666666666666667,B_high_drift_low_JS
275,2,1.4732203647294373,3.2609119931639046,0.37168212995309635,0.17253085474046204,2.6666666666666665,2.0,B_high_drift_low_JS
798,3,1.4720521589565099,2.330653219372749,0.4102934698120324,0.2465257912990606,2.5,1.5,B_high_drift_low_JS
634,3,1.4505324723124264,2.1341322771925717,0.7600284142283167,0.685063877986894,0.5,0.16666666666666666,B_high_drift_low_JS
776,3,1.4423069576050025,2.6019018727815912,0.35721297695540644,0.19021199123181665,1.8333333333333333,1.1666666666666667,B_high_drift_low_JS
626,3,1.4191022544628475,3.358920911341542,0.5631941821655421,0.2561537930813781,5.833333333333333,5.0,B_high_drift_low_JS
304,2,1.4119302777941083,2.859977455397403,0.30894862199798706,0.016008417804636355,4.833333333333333,3.0,B_high_drift_low_JS
48,2,1.396051717246632,3.3159040231364827,0.6828324376901128,0.2790367530399773,0.3333333333333333,0.16666666666666666,A_high_drift_high_JS
212,2,1.3630516129453045,3.3226355921245125,0.5125282121099407,0.008977077626089014,1.6666666666666667,2.8333333333333335,B_high_drift_low_JS
446,2,1.3274375667463814,3.3475750978421512,0.5899516116765836,0.20982494571483112,1.0,1.0,C_low_drift_high_JS
478,2,1.3179445905396907,1.8887468095973647,0.33135677450538187,0.08093208954842923,2.0,2.0,B_high_drift_low_JS
372,3,1.3172351305470464,3.359092523298242,0.5510474257578968,0.3363775870632162,0.5,0.5,B_high_drift_low_JS
388,2,1.295064250479301,2.523452333817134,0.43415725814607925,0.15807134920658894,3.1666666666666665,2.3333333333333335,B_high_drift_low_JS
328,2,1.2879342103753866,2.396129860015181,0.3321661759545442,0.0053905454600601255,4.0,3.1666666666666665,B_high_drift_low_JS
266,2,1.2342969733340274,2.8315554927170163,0.5067191681311515,0.21431210521739474,3.3333333333333335,3.5,B_high_drift_low_JS
796,3,1.228641438605867,2.9565223092297086,0.26354953847474877,1.1102230246251565e-16,1.6,1.0,B_high_drift_low_JS
384,3,1.2168208620208143,4.076895951525668,0.5650154479250281,0.4056977628363957,2.6666666666666665,3.0,B_high_drift_low_JS
232,3,1.2082295257211835,3.0871957374909473,0.48961829289780084,0.0,0.8333333333333334,1.0,B_high_drift_low_JS
624,2,1.1904327299089454,2.9559953705955055,0.22576054067862933,1.1102230246251565e-16,1.0,2.8,B_high_drift_low_JS
716,3,1.1897472220929577,2.511775199003847,0.37607875249904005,0.1263146284795268,4.666666666666667,3.3333333333333335,B_high_drift_low_JS
646,3,1.1698139635759486,2.3078767389531842,0.5630146342248971,0.3712203097876424,4.5,3.5,B_high_drift_low_JS
512,3,1.16375001136512,1.7911998852033548,0.7201795178736273,0.5276256300170397,1.8333333333333333,1.6666666666666667,A_high_drift_high_JS
44,3,1.1459319459825752,2.0856030653610587,0.12444912802757307,0.0053706523260298455,3.1666666666666665,1.8333333333333333,B_high_drift_low_JS
